github.com/AlDanial/cloc v 1.96  T=16.75 s (315.6 files/s, 121472.1 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                                     blank        comment           code
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/controllers/entities/v2/ERADBServerController.java                                                                                                                    115            112           2938
../nutanix-era-airavata/mgmt_app/test/com/nutanix/era/service/impl/v2/ERATimeMachineNewServiceImplTest.java                                                                                                                554            594           2930
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/dao/impl/postgres/v2/ERADatabasePostgresImpl.java                                                                                                                     229             95           2905
../nutanix-era-airavata/setup/era_server_setup/config/service_config/versions/era_config_2.0.0.2.json                                                                                                                        0              0           2890
../nutanix-era-airavata/era_drivers/nutanix_era/era_drivers/common/era/ClusteredTimeMachine/ERADatabase.py                                                                                                                 287            240           2888
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/host/windows_host.py                                                                                                                                          599           1241           2888
../nutanix-era-airavata/nutest/workflows/nutanix/era/testlib/host/generic_linux_host.py                                                                                                                                    394           1587           2877
../nutanix-era-airavata/setup/era_server_setup/config/service_config/versions/era_config_2.0.0.json                                                                                                                          0              0           2874
../nutanix-era-airavata/ui/src/pages/gettingStarted/RegisterCluster.jsx                                                                                                                                                     76             23           2803
../nutanix-era-airavata/setup/upgrade/scripts/Utils/DataMigration/oob_profiles_metadata/postgres_ha_oob.json                                                                                                                 0              0           2799
../nutanix-era-airavata/nutest/testcases/era/os_patching/config.json                                                                                                                                                        26              0           2779
../nutanix-era-airavata/setup/upgrade/scripts/Utils/DataMigration/oob_profiles_metadata/postgres_oob.json                                                                                                                    0              0           2779
../nutanix-era-airavata/ui/src/components/Modals/databases/CloneDatabase.jsx                                                                                                                                                71             74           2779
../nutanix-era-airavata/nutest/testcases/era/precheckin/test_smoke.py                                                                                                                                                      194            250           2755
../nutanix-era-airavata/ui/src/pages/dbServers/ClusterDbServerDetail.jsx                                                                                                                                                    35             42           2747
../nutanix-era-airavata/ui/locales/en.json                                                                                                                                                                                  49              0           2681
../nutanix-era-airavata/ui/locales/ja.json                                                                                                                                                                                   0              0           2680
../nutanix-era-airavata/ui/locales/zh-cn.json                                                                                                                                                                                0              0           2680
../nutanix-era-airavata/ui/locales/zh-tw.json                                                                                                                                                                                0              0           2680
../nutanix-era-airavata/nutest/testcases/era/smoke_variants/oracle/config.json                                                                                                                                              50              0           2671
../nutanix-era-airavata/ui/src/pages/databases/ClusterDbDetail.jsx                                                                                                                                                          35             19           2609
../nutanix-era-airavata/nutest/testcases/era/best_practices/mssql/config.json                                                                                                                                               52              0           2605
../nutanix-era-airavata/setup/repos_setup/repos/ERA_REPOS_POSTGRES.sql                                                                                                                                                     364            111           2570
../nutanix-era-airavata/mgmt_app/src/com/nutanix/era/controllers/entities/v2/ERADatabaseController.java                                                                                                                     99             58           2562
../nutanix-era-airavata/nutest/testcases/era/clustered_time_machine/config.json                                                                                                                                              7              0           2558
